tag h112_sc_coarse
elements        6912.
nodes       34185.
symmetry_nodes         690.
interface_nodes       10754.
outer_nodes       10754.
mode f_Hz
  1.     0.338491021525E-03
  2.     0.180631641996E-02
  3.     0.234241490475E-02
  4.     0.723582404726E+02
  5.     0.118819301493E+03
  6.     0.172320607109E+03
  7.     0.276700631095E+03
  8.     0.302020834737E+03
  9.     0.461784279338E+03
 10.     0.475528809516E+03
 11.     0.552982086223E+03
 12.     0.650797157178E+03
 13.     0.724079842921E+03
 14.     0.773603032394E+03
 15.     0.868153319247E+03
 16.     0.100414138277E+04
 17.     0.111297600514E+04
 18.     0.111670357967E+04
 19.     0.131467590531E+04
 20.     0.132670291848E+04
 21.     0.138440967483E+04
 22.     0.150069336351E+04
 23.     0.152661386901E+04
 24.     0.159255173864E+04
