tag bare_t20_xfine
elements      221184.
nodes      977681.
symmetry_nodes        5026.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.399410954741E-02
  3.     0.778438892474E-02
  4.     0.702289804658E+02
  5.     0.115492585370E+03
  6.     0.167306057509E+03
  7.     0.269047511491E+03
  8.     0.293346692539E+03
  9.     0.448705486940E+03
 10.     0.462579894939E+03
 11.     0.537917970956E+03
 12.     0.632639187736E+03
 13.     0.704677022698E+03
 14.     0.752888322947E+03
 15.     0.844318606477E+03
 16.     0.977784896282E+03
 17.     0.108294464977E+04
 18.     0.108773384752E+04
 19.     0.128098303190E+04
 20.     0.129288753295E+04
 21.     0.134773868958E+04
 22.     0.146296637488E+04
 23.     0.148815467034E+04
 24.     0.161438206131E+04
