tag bare_t5_coarse
elements        3456.
nodes       19781.
symmetry_nodes         394.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.558283179626E-02
  3.     0.669612011949E-02
  4.     0.176373274968E+02
  5.     0.289214359608E+02
  6.     0.420639861894E+02
  7.     0.678437051582E+02
  8.     0.739503848999E+02
  9.     0.113472181227E+03
 10.     0.116636323897E+03
 11.     0.135475157307E+03
 12.     0.160555407219E+03
 13.     0.178450254011E+03
 14.     0.192232886795E+03
 15.     0.215125635049E+03
 16.     0.248666277061E+03
 17.     0.276689988815E+03
 18.     0.277132798159E+03
 19.     0.327309667996E+03
 20.     0.329353864772E+03
 21.     0.346546905887E+03
 22.     0.374014448522E+03
 23.     0.384030344676E+03
 24.     0.414610536444E+03
