tag h15_oc_fine
elements       46080.
nodes      206401.
symmetry_nodes        2114.
interface_nodes       35298.
outer_nodes       35298.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.000000000000E+00
  3.     0.535971901733E-03
  4.     0.774753777429E+02
  5.     0.127809682646E+03
  6.     0.184418910296E+03
  7.     0.295514818564E+03
  8.     0.322976197254E+03
  9.     0.493400811478E+03
 10.     0.507655014872E+03
 11.     0.591981434613E+03
 12.     0.694704499832E+03
 13.     0.772272906150E+03
 14.     0.824210275030E+03
 15.     0.925784635827E+03
 16.     0.106987851246E+04
 17.     0.118556022194E+04
 18.     0.118936684621E+04
 19.     0.139913379340E+04
 20.     0.141222434110E+04
 21.     0.147296649598E+04
 22.     0.151954791320E+04
 23.     0.159615737288E+04
 24.     0.162169122587E+04
