tag bare_t10_coarse
elements        3456.
nodes       19781.
symmetry_nodes         394.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.000000000000E+00
  3.     0.443865775894E-03
  4.     0.352279251766E+02
  5.     0.578194068138E+02
  6.     0.839926151841E+02
  7.     0.135377651882E+03
  8.     0.147554833969E+03
  9.     0.226218301108E+03
 10.     0.232801037383E+03
 11.     0.270492861825E+03
 12.     0.319772457490E+03
 13.     0.355818315953E+03
 14.     0.382309455587E+03
 15.     0.427992448611E+03
 16.     0.495343036405E+03
 17.     0.550690714032E+03
 18.     0.551131604206E+03
 19.     0.651288459602E+03
 20.     0.655723161454E+03
 21.     0.687708999902E+03
 22.     0.744200778236E+03
 23.     0.761696612574E+03
 24.     0.824006043246E+03
