tag bare_t5_fine
elements       27648.
nodes      134025.
symmetry_nodes        1362.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.000000000000E+00
  3.     0.316384667215E-02
  4.     0.176288723334E+02
  5.     0.289165745035E+02
  6.     0.420368383513E+02
  7.     0.677989711470E+02
  8.     0.738758743591E+02
  9.     0.113305499513E+03
 10.     0.116589449590E+03
 11.     0.135409659212E+03
 12.     0.160231016360E+03
 13.     0.178350717168E+03
 14.     0.191899989008E+03
 15.     0.214552508663E+03
 16.     0.248490818553E+03
 17.     0.276189938554E+03
 18.     0.276383974952E+03
 19.     0.327012332626E+03
 20.     0.328795657576E+03
 21.     0.345078935319E+03
 22.     0.373604378719E+03
 23.     0.382980674915E+03
 24.     0.414123261368E+03
