tag bare_t10_xfine
elements      221184.
nodes      977681.
symmetry_nodes        5026.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.198730439055E-02
  3.     0.135508876419E-01
  4.     0.352092863380E+02
  5.     0.578149259065E+02
  6.     0.839456778147E+02
  7.     0.135283107926E+03
  8.     0.147438267292E+03
  9.     0.225975575347E+03
 10.     0.232715638418E+03
 11.     0.270432672915E+03
 12.     0.319326184688E+03
 13.     0.355627739839E+03
 14.     0.381668742392E+03
 15.     0.427238812791E+03
 16.     0.495023716248E+03
 17.     0.549494686641E+03
 18.     0.550781458099E+03
 19.     0.650779365215E+03
 20.     0.655214871012E+03
 21.     0.685899691851E+03
 22.     0.743704161754E+03
 23.     0.760052898947E+03
 24.     0.823227272994E+03
