tag bare_t20_fine
elements       27648.
nodes      134025.
symmetry_nodes        1362.
mode f_Hz
  1.     0.000000000000E+00
  2.     0.217657025509E-02
  3.     0.245387637355E-02
  4.     0.702307431502E+02
  5.     0.115492790593E+03
  6.     0.167309768703E+03
  7.     0.269056192854E+03
  8.     0.293355302765E+03
  9.     0.448722634006E+03
 10.     0.462587286400E+03
 11.     0.537921156281E+03
 12.     0.632669498740E+03
 13.     0.704694388167E+03
 14.     0.752944574020E+03
 15.     0.844368031953E+03
 16.     0.977813507429E+03
 17.     0.108302071312E+04
 18.     0.108775779559E+04
 19.     0.128102788187E+04
 20.     0.129291279905E+04
 21.     0.134785072237E+04
 22.     0.146300329605E+04
 23.     0.148828209940E+04
 24.     0.161444921037E+04
